Day,Date,total_cases,new_cases,total_deaths,new_deaths,new_cases_per_million,new_tests,new_cases,total_tests,tests_per_case,positive_rate,hospital_beds_per_thousand,population
31,30-01-2020,1,1.0,0.0,0.0,0.001,nan,1.0,nan,nan,nan,0.53,1380004385.0
32,31-01-2020,1,0.0,0.0,0.0,0.0,nan,0.0,nan,nan,nan,0.53,1380004385.0
33,01-02-2020,1,0.0,0.0,0.0,0.0,nan,0.0,nan,nan,nan,0.53,1380004385.0
34,02-02-2020,2,1.0,0.0,0.0,0.001,nan,1.0,nan,nan,nan,0.53,1380004385.0
35,03-02-2020,2,0.0,0.0,0.0,0.0,nan,0.0,nan,nan,nan,0.53,1380004385.0
36,04-02-2020,3,1.0,0.0,0.0,0.001,nan,1.0,nan,nan,nan,0.53,1380004385.0
37,05-02-2020,3,0.0,0.0,0.0,0.0,nan,0.0,nan,nan,nan,0.53,1380004385.0
38,06-02-2020,3,0.0,0.0,0.0,0.0,nan,0.0,nan,nan,nan,0.53,1380004385.0
39,07-02-2020,3,0.0,0.0,0.0,0.0,nan,0.0,nan,nan,nan,0.53,1380004385.0
40,08-02-2020,3,0.0,0.0,0.0,0.0,nan,0.0,nan,nan,nan,0.53,1380004385.0
41,09-02-2020,3,0.0,0.0,0.0,0.0,nan,0.0,nan,nan,nan,0.53,1380004385.0
42,10-02-2020,3,0.0,0.0,0.0,0.0,nan,0.0,nan,nan,nan,0.53,1380004385.0
43,11-02-2020,3,0.0,0.0,0.0,0.0,nan,0.0,nan,nan,nan,0.53,1380004385.0
44,12-02-2020,3,0.0,0.0,0.0,0.0,nan,0.0,nan,nan,nan,0.53,1380004385.0
